,date,1st mth,2nd mth,VIX,current_expire,previous_expire,next_expire,TTM,Period,ratio1,ratio2,sa_ratio,wa_ratio,enter,setup_coef,open,close,volume,high,low,capital,daily_pnl,unrealized_pnl,realized_pnl,position,trade_logs,date_int
334,2012-05-01,18.0,20.05,16.6,2012-05-16,2012-04-18,2012-06-20,15 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9222222222222223,0.8977556109725685,0.9099889165973953,0.910862724142026,True,0.3,16425000.0,15800000.0,0,16575000.0,15500000.0,18049.219174804974,271.17216308300743,0.0,260.32527655968715,-0.0004338754609328119,hold rebalance,20120501
335,2012-05-02,18.05,19.95,16.88,2012-05-16,2012-04-18,2012-06-20,14 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9351800554016619,0.9047619047619049,0.9199709800817835,0.9199709800817835,True,0.3,16325000.0,15500000.0,0,16625000.0,15375000.0,18322.859710533256,273.6405357282837,0.0,273.6405357282837,-0.00033168549785246506,daily rebalance,20120502
336,2012-05-03,18.8,20.55,17.56,2012-05-16,2012-04-18,2012-06-20,13 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9340425531914892,0.9148418491484185,0.9244422011699538,0.9237564617398442,True,0.3,15250000.0,16000000.0,0,16450000.0,15150000.0,18322.859710533256,-270.3372744177038,-270.3372744177038,0.0,-0.000360449699223605,hold,20120503
337,2012-05-04,20.0,21.45,19.16,2012-05-16,2012-04-18,2012-06-20,12 days 00:00:00.000000000,28 days 00:00:00.000000000,0.958,0.9324009324009325,0.9452004662004663,0.9433719613719613,True,0.3,16250000.0,17275000.0,0,17700000.0,16225000.0,18322.859710533256,-369.46094170419514,-639.7982161218989,0.0,-0.000360449699223605,hold,20120504
338,2012-05-07,19.35,20.85,18.94,2012-05-16,2012-04-18,2012-06-20,9 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9788113695090439,0.9280575539568345,0.9534344617329392,0.9443712803843305,True,0.3,18275000.0,16650000.0,0,18300000.0,16350000.0,18322.859710533256,585.7307612383581,-54.06745488354079,0.0,-0.000360449699223605,hold,20120507
339,2012-05-08,19.55,21.0,19.05,2012-05-16,2012-04-18,2012-06-20,8 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9744245524296675,0.930952380952381,0.9526884666910242,0.9433730013744628,True,0.3,17325000.0,16800000.0,0,18700000.0,16650000.0,18458.028347742107,189.23609209239262,0.0,135.16863720885183,-0.000360449699223605,hold rebalance,20120508
340,2012-05-09,20.5,21.85,20.08,2012-05-16,2012-04-18,2012-06-20,7 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9795121951219511,0.9382151029748284,0.9588636490483897,0.9485393760116091,True,0.3,18325000.0,17875000.0,0,18725000.0,17125000.0,18594.00836558359,135.98001784148346,0.0,135.98001784148346,-0.0003021778174255188,daily rebalance,20120509
341,2012-05-10,19.35,20.85,18.83,2012-05-16,2012-04-18,2012-06-20,6 days 00:00:00.000000000,28 days 00:00:00.000000000,0.97312661498708,0.9280575539568345,0.9505920844719573,0.9377152098918871,True,0.3,17150000.0,17200000.0,0,17550000.0,16750000.0,18594.00836558359,-16.262981077769908,-16.262981077769908,0.0,-0.00032525962155539813,hold,20120510
342,2012-05-11,20.1,21.6,19.89,2012-05-16,2012-04-18,2012-06-20,5 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9895522388059701,0.9305555555555556,0.9600538971807628,0.9410906775645581,True,0.3,18025000.0,17525000.0,0,18125000.0,16800000.0,18740.37519528352,162.62981077769908,0.0,146.36682969992916,-0.00032525962155539813,hold rebalance,20120511
343,2012-05-14,21.95,23.0,21.87,2012-05-16,2012-04-18,2012-06-20,2 days 00:00:00.000000000,28 days 00:00:00.000000000,0.9963553530751709,0.9543478260869565,0.9753515895810636,0.9573483637289718,False,0.3,18675000.0,19025000.0,0,19125000.0,18200000.0,18740.37519528352,-105.36757137910413,-105.36757137910413,0.0,-0.0003010502039402975,hold,20120514
